fold,trial,objective,boosting_type,learning_rate,num_leaves,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,min_child_weight,min_split_gain,reg_alpha,reg_lambda,Accuracy,MCC,PPV,NPV,Sensitivity,Specificity,AUC,OPM,n_Accuracy,n_MCC,n_PPV,n_NPV,n_Sensitivity,n_Specificity,n_OPM,TP,TN,FP,FN,n_TP,n_TN,n_FP,n_FN
4,68,binary,gbdt,0.004706345282918489,20,0.6,0.9,5,10,0.016081106827738244,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,216,53,50,301,282,69,50
4,79,binary,gbdt,0.004998100816270525,20,0.7,0.9,5,10,0.01589698441951077,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,215,54,50,301,281,70,50
4,69,binary,dart,0.004942801180809148,20,0.5,0.9,5,10,0.012697698242572424,0.0,0.7,0.1,0.83,0.65,0.83,0.82,0.87,0.77,0.92,0.56,0.82,0.64,0.79,0.86,0.87,0.77,0.56,307,206,63,44,307,269,82,44
4,52,binary,gbdt,0.0037209866834847748,20,0.6,0.7,3,20,0.03341515577734923,0.1,0.4,0.7,0.84,0.67,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.67,0.81,0.86,0.87,0.8,0.58,304,215,54,47,304,281,70,47
4,70,binary,gbdt,0.004533668348662841,20,0.6,0.8,5,10,0.011746152424369459,0.0,0.7,0.9999999999999999,0.83,0.65,0.85,0.81,0.85,0.8,0.92,0.56,0.82,0.65,0.81,0.85,0.85,0.79,0.56,300,214,55,51,300,279,72,51
0,71,binary,gbdt,0.004738680268840216,20,0.6,0.9,5,10,0.015528505983626489,0.0,0.7,0.1,0.84,0.68,0.85,0.83,0.88,0.8,0.92,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,308,215,53,44,308,282,70,44
4,71,binary,gbdt,0.004738680268840216,20,0.6,0.9,5,10,0.015528505983626489,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,215,54,50,301,281,70,50
0,72,binary,gbdt,0.004692038953702798,20,0.6,0.9,5,10,0.016562005546733292,0.0,0.7,0.1,0.85,0.68,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.68,0.81,0.87,0.88,0.8,0.59,310,214,54,42,310,281,71,42
4,51,binary,gbdt,0.004193992592077334,20,0.6,0.7,3,20,0.02149047243159083,0.1,0.4,0.4,0.84,0.66,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.66,0.81,0.86,0.87,0.79,0.57,304,214,55,47,304,279,72,47
4,72,binary,gbdt,0.004692038953702798,20,0.6,0.9,5,10,0.016562005546733292,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,216,53,50,301,282,69,50
