n_features,AUC,OPM,Accuracy,MCC,PPV,NPV,Sensitivity,Specificity,n_OPM,n_Accuracy,n_MCC,n_PPV,n_NPV,n_Sensitivity,n_Specificity,TP,TN,FP,FN,n_TP,n_TN,n_FP,n_FN
10,0.888,0.512,0.802,0.6,0.812,0.794,0.854,0.74,0.51,0.796,0.598,0.768,0.834,0.854,0.74,299.6,198.8,69.8,51.8,299.6,260.2,91.2,51.8
20,0.89,0.536,0.816,0.622,0.816,0.812,0.868,0.748,0.532,0.806,0.62,0.772,0.85,0.868,0.748,305.0,200.6,68.0,46.4,305.0,262.2,89.2,46.4
30,0.894,0.532,0.814,0.616,0.81,0.818,0.878,0.732,0.522,0.802,0.612,0.764,0.854,0.878,0.732,307.6,196.4,72.2,43.8,307.6,257.0,94.4,43.8
40,0.89,0.528,0.812,0.612,0.812,0.81,0.866,0.734,0.52,0.8,0.61,0.766,0.848,0.866,0.734,305.2,197.6,71.0,46.2,305.2,258.6,92.8,46.2
50,0.89,0.526,0.812,0.612,0.812,0.81,0.87,0.736,0.52,0.802,0.608,0.766,0.85,0.87,0.736,305.0,197.6,71.0,46.4,305.0,258.6,92.8,46.4
60,0.892,0.534,0.816,0.62,0.812,0.816,0.874,0.736,0.528,0.804,0.616,0.768,0.854,0.874,0.736,307.2,197.6,71.0,44.2,307.2,258.6,92.8,44.2
70,0.894,0.53,0.814,0.614,0.812,0.818,0.874,0.732,0.522,0.802,0.612,0.762,0.852,0.874,0.732,307.4,196.2,72.4,44.0,307.4,256.6,94.8,44.0
80,0.892,0.53,0.812,0.618,0.81,0.818,0.876,0.732,0.524,0.802,0.614,0.766,0.854,0.876,0.732,308.0,196.2,72.4,43.4,308.0,256.6,94.8,43.4
90,0.89,0.536,0.818,0.622,0.816,0.816,0.874,0.74,0.532,0.806,0.618,0.772,0.852,0.874,0.74,306.4,199.0,69.6,45.0,306.4,260.4,91.0,45.0
100,0.892,0.534,0.814,0.624,0.808,0.822,0.878,0.73,0.53,0.804,0.618,0.766,0.858,0.878,0.73,309.2,196.0,72.6,42.2,309.2,256.6,94.8,42.2
110,0.892,0.528,0.812,0.614,0.806,0.822,0.882,0.72,0.52,0.802,0.606,0.76,0.86,0.882,0.72,309.6,193.2,75.4,41.8,309.6,252.6,98.8,41.8
120,0.89,0.53,0.814,0.616,0.81,0.816,0.872,0.732,0.522,0.802,0.612,0.766,0.852,0.872,0.732,306.8,196.8,71.8,44.6,306.8,257.6,93.8,44.6
130,0.89,0.52,0.806,0.61,0.806,0.816,0.874,0.724,0.518,0.798,0.606,0.76,0.852,0.874,0.724,307.4,194.2,74.4,44.0,307.4,254.0,97.4,44.0
140,0.89,0.526,0.808,0.61,0.808,0.812,0.868,0.734,0.52,0.8,0.61,0.766,0.848,0.868,0.734,305.8,196.6,72.0,45.6,305.8,257.2,94.2,45.6
150,0.892,0.52,0.806,0.61,0.804,0.814,0.876,0.718,0.512,0.796,0.602,0.758,0.854,0.876,0.718,308.0,193.2,75.4,43.4,308.0,252.8,98.6,43.4
160,0.89,0.528,0.814,0.614,0.814,0.81,0.87,0.738,0.524,0.802,0.612,0.768,0.85,0.87,0.738,305.4,197.8,70.8,46.0,305.4,258.8,92.6,46.0
170,0.89,0.528,0.812,0.614,0.808,0.818,0.874,0.73,0.524,0.8,0.61,0.764,0.852,0.874,0.73,307.4,196.0,72.6,44.0,307.4,256.6,94.8,44.0
180,0.89,0.524,0.81,0.61,0.806,0.816,0.876,0.72,0.518,0.798,0.608,0.76,0.856,0.876,0.72,308.0,194.0,74.6,43.4,308.0,253.8,97.6,43.4
190,0.89,0.532,0.814,0.62,0.816,0.812,0.868,0.744,0.528,0.804,0.616,0.77,0.85,0.868,0.744,305.6,199.2,69.4,45.8,305.6,260.6,90.8,45.8
